time,LSTM,CNN,GRU,bilstm,cnn-bilstm,cnn-gru,cnn-gru-attention,emd-cnn-gru-attention,eemd-cnn-gru-attention,iceemdan-cnn-gru-attention,vmd-cnn-gru-attention,iceemdan-cnn-gru-attention-arima,vmd-cnn-gru-attention-arima,vmd-cnn-gru-attention-vmd-arima
2017/9/7 7:15,15.466367,15.684839,16.378325,15.64734,15.236753,15.391969,15.514364,15.168831,15.660922,15.61522879,15.37333057,15.29703026,15.15813473,15.24429674
2017/9/7 7:30,15.100482,15.246141,15.16924,15.219337,14.870685,15.043404,15.090075,15.604542,15.396645,15.40015003,15.58202831,15.57638972,15.60444333,15.54931423
2017/9/7 7:45,15.318097,15.506612,15.849716,15.425978,15.373244,15.53058,15.398525,15.552347,15.654348,15.55529068,15.29255924,15.52513748,15.35937529,15.3237652
2017/9/7 8:00,14.853245,15.092983,14.870268,15.088066,14.949739,15.119342,15.060939,14.916955,15.430326,15.33765892,15.22768939,15.26294296,15.33523048,15.28589747
2017/9/7 8:15,14.878865,15.123731,15.08729,15.132601,15.079711,15.242687,15.113573,14.619215,15.253449,15.33216819,14.97732342,15.17269628,15.1457151,15.07114689
2017/9/7 8:30,14.646223,14.89087,14.635312,14.897552,14.783463,14.959943,14.85719,14.917616,15.138395,15.39968337,15.31802752,15.36927721,15.51732119,15.54769852
2017/9/7 8:45,15.057117,15.326694,15.438753,15.347625,15.391027,15.552298,15.411412,15.360555,15.200168,15.35553063,14.93981283,15.23779665,15.15738751,15.05768705
2017/9/7 9:00,14.662824,14.875836,14.550807,14.881141,14.686493,14.850404,14.791088,15.116166,15.156503,15.313202,15.31269243,15.18008129,15.23484161,15.37590534
2017/9/7 9:15,14.905501,15.171737,15.230931,15.198036,15.221641,15.384863,15.240603,15.3148,15.360351,15.73184936,15.76448248,15.65580306,15.78009513,15.73670488
2017/9/7 9:30,15.150784,15.431189,15.418132,15.437396,15.359718,15.525285,15.50502,15.249821,15.330412,15.61028993,15.45178321,15.48666408,15.42764728,15.39415549
2017/9/7 9:45,14.988182,15.195707,15.061477,15.195996,15.097738,15.246353,15.135706,15.296887,15.513826,15.80997653,16.01811046,15.82561775,15.89639975,15.95632228
2017/9/7 10:00,15.31824,15.620265,15.716471,15.633484,15.65787,15.815145,15.767769,15.68927,15.873765,16.11370343,15.91318214,15.95712934,15.9795009,16.00085312
2017/9/7 10:15,15.484348,15.719956,15.759998,15.714646,15.567225,15.722462,15.718637,16.051849,16.516054,16.65082486,16.29927943,16.63254321,16.48414792,16.43948699
2017/9/7 10:30,15.819462,16.07292,16.221024,16.080904,16.207663,16.336439,16.200008,16.719624,17.406139,17.52523751,17.23920059,17.61104317,17.40311983,17.43430128
2017/9/7 10:45,16.651836,16.961481,17.396385,16.934431,16.96978,17.087233,17.159231,17.626884,18.071978,18.30518022,17.91781194,18.1486863,18.0866689,17.99651499
2017/9/7 11:00,17.24877,17.485918,17.881367,17.461018,17.555571,17.754133,17.618387,18.304441,18.204716,18.55274515,18.3032883,18.62128754,18.44373983,18.37347897
2017/9/7 11:15,17.588985,17.827414,18.130093,17.759481,17.839155,18.055313,17.939016,18.069002,18.069361,18.33061508,1.80E+01,18.28424077,18.01530596,17.96274579
2017/9/7 11:30,17.381598,17.557226,17.599176,17.479185,17.332371,17.523838,17.495651,18.049526,18.308277,18.4005906,18.26553341,18.39022054,18.2021349,18.26557162
2017/9/7 11:45,17.61816,17.833942,18.001316,17.790108,17.975401,18.260702,17.93158,18.018385,18.259583,18.11398775,17.6954761,17.92456898,17.68981065,17.76598606
2017/9/7 12:00,17.340879,17.494255,17.336185,17.422241,17.237225,17.468863,17.389387,17.334925,17.368519,17.20296906,17.33755561,17.1799801,17.37369786,17.29598845
2017/9/7 12:15,16.991787,17.1408,16.924757,17.107748,16.981747,17.222847,17.037863,16.311886,16.276501,16.19198478,16.12013008,15.95736649,15.93956621,15.78691374
2017/9/7 12:30,15.714142,15.81236,14.920933,15.76929,15.232406,15.42567,15.474106,15.445621,15.98963,16.03648602,16.32744383,15.91827791,16.06553667,16.115387
2017/9/7 12:45,15.797241,16.017921,15.708355,16.047777,16.103357,16.278927,16.046669,16.352882,16.620684,16.73330316,16.52313676,16.48211187,16.5318027,16.45715913
2017/9/7 13:00,15.936597,16.176109,15.762482,16.201689,16.065203,16.209764,16.237606,16.782629,16.853779,16.95534204,16.96794949,16.82501005,16.95196758,16.99733127
2017/9/7 13:15,16.408274,16.650629,16.608519,16.696224,16.761412,16.91193,16.791086,16.603874,16.747387,16.86917299,16.61310861,16.66243776,16.58404564,16.62138857
2017/9/7 13:30,15.988286,16.2085,15.733339,16.214437,15.883473,16.018456,16.20352,16.439312,16.389029,16.49463714,16.72089149,16.38178693,16.72159337,16.64940466
2017/9/7 13:45,15.995786,16.225332,16.043207,16.243301,16.311108,16.452267,16.298937,16.242832,16.169615,16.28503791,16.28565891,16.06284084,16.18710692,16.07562682
2017/9/7 14:00,15.446033,15.668676,15.061164,15.66714,15.586568,15.758502,15.655829,16.12755,15.999976,16.06518045,16.01456653,16.05722789,15.86106426,15.86694336
2017/9/7 14:15,15.383087,15.622549,15.34843,15.64764,15.654507,15.82077,15.639915,16.673677,16.801292,17.05030469,17.00837004,16.93509904,16.90898845,16.92551655
2017/9/7 14:30,16.205847,16.536198,16.662857,16.57003,16.63306,16.774086,16.775398,17.587353,17.728088,17.98794088,17.87296767,17.89398114,17.79527357,1.78E+01
2017/9/7 14:45,17.138378,17.394707,17.763733,17.386387,17.437967,17.626839,17.550814,18.089851,18.11195,18.3057927,18.01048157,18.22421029,17.88694619,1.79E+01
2017/9/7 15:00,17.216988,17.427019,17.504639,17.388807,17.330639,17.491112,17.490292,17.850853,17.826538,17.98261645,18.00930167,18.0332826,17.91865957,17.9233933
2017/9/7 15:15,17.198393,17.422729,17.469143,17.369083,17.296091,17.458794,17.466114,17.033865,16.841824,16.95779265,16.72701414,16.71610267,16.66896048,16.66824586
2017/9/7 15:30,16.233097,16.364506,15.789126,16.315287,16.112043,16.256502,16.180552,16.279861,15.558612,15.72447051,15.45072681,15.66068353,15.46944404,15.35007206
2017/9/7 15:45,15.165854,15.314362,14.542232,15.291337,15.111873,15.300885,15.094296,16.103952,15.604369,15.93803098,15.8537468,15.89509076,15.80163887,15.87037962
2017/9/7 16:00,15.504255,15.788523,15.606954,15.819363,15.794474,15.965966,15.862126,16.631329,16.696077,16.94077345,16.30913544,16.63894201,16.34432443,16.46802148
2017/9/7 16:15,16.084499,16.31143,16.266382,16.348066,16.237303,16.383324,16.369066,16.894396,17.513544,17.61638852,16.86948139,17.53030733,17.0051408,17.13761653
2017/9/7 16:30,16.569942,16.807684,16.885628,16.819187,16.753937,16.858425,16.925241,17.046209,17.60359,17.73641192,17.53354294,17.58546268,17.68321268,17.73351504
2017/9/7 16:45,16.940216,17.201906,17.325918,17.190338,17.047903,17.146734,17.341925,16.996872,16.723412,16.74166598,16.06226684,16.41243253,16.13065247,16.05626146
2017/9/7 17:00,15.619046,15.716868,14.951308,15.692685,15.381879,15.538181,15.487652,16.611366,15.856903,15.99409715,15.87315988,15.87934053,15.83791429,15.80096586
2017/9/7 17:15,15.201124,15.460561,15.000316,15.470759,15.640999,15.811019,15.526727,16.44639,16.122211,16.30221708,15.95978408,16.07110014,16.0070021,15.9546864
2017/9/7 17:30,15.410014,15.693064,15.440646,15.716595,15.640719,15.821679,15.752518,16.268656,16.641483,16.81991555,16.29429216,16.51333268,16.2956826,16.35333828
2017/9/7 17:45,15.909068,16.139584,16.136255,16.188133,16.267719,16.427198,16.231834,16.152702,16.979946,17.16367769,16.63226743,16.98259889,16.63707598,16.73510972
2017/9/7 18:00,16.214178,16.472441,16.477224,16.45607,16.173227,16.280123,16.516737,16.484001,17.126381,17.33028441,16.94104289,17.1512264,17.01311068,17.0855201
2017/9/7 18:15,16.50494,16.721167,16.861107,16.720198,16.610212,16.731964,16.771788,17.573946,17.381762,17.47569476,16.87717604,17.07916472,16.95047523,16.93237162
2017/9/7 18:30,16.234165,16.442019,16.196735,16.415583,16.416534,16.547691,16.475571,18.759899,17.922169,17.84989722,17.20124323,17.7692558,17.1997456,17.16681707
2017/9/7 18:45,16.419147,16.681923,16.701147,16.662798,16.783157,16.936867,16.791613,19.844929,19.263515,19.42651996,18.90189899,19.18841164,18.86246062,19.00255367
2017/9/7 19:00,17.912798,18.281811,18.887196,18.296724,18.720131,19.013062,18.719282,20.147327,19.937908,20.22613686,19.21150104,19.90829018,19.34600875,19.3501224
2017/9/7 19:15,18.533152,18.741131,19.091566,18.67778,18.709829,19.012936,18.839939,19.194351,19.109102,19.57565972,20.1174207,19.40269276,20.11304214,20.19387074
2017/9/7 19:30,19.264488,19.524195,20.053484,19.441872,19.717888,20.070826,19.736994,17.362614,16.33679,16.42976402,16.80514013,15.88091023,16.74274139,16.47951385
2017/9/7 19:45,16.50482,16.432789,15.083762,16.28199,15.269032,15.444921,15.713415,14.723817,12.933443,12.78274646,12.81427771,12.53796508,12.47091427,12.12261258
2017/9/7 20:00,12.763957,12.685303,10.613716,12.654689,12.036863,11.833707,11.810339,13.272898,12.414123,12.35885007,11.16459034,12.17615041,10.59417822,10.57428155
2017/9/7 20:15,10.995857,11.21182,9.4975567,11.281404,11.62962,11.407464,10.763201,12.8716,13.754467,14.20789548,13.99479237,14.18772903,13.7363398,13.89513663
2017/9/7 20:30,13.607449,14.061864,14.173498,14.287495,14.927711,15.011192,14.545315,12.347874,13.280089,13.51813927,13.11384233,12.80609367,13.098814,13.04961402
2017/9/7 20:45,13.034409,13.184986,11.967954,13.290145,12.885272,12.409372,12.919212,9.7313004,9.8117352,9.79080722,11.00265919,9.952979304,10.71770143,10.76382976
2017/9/7 21:00,10.939055,11.055575,10.019678,11.164339,11.115335,10.860528,10.592871,7.5390663,6.6983609,6.56230164,6.892932805,5.941963206,6.512419516,6.450673966
2017/9/7 21:15,6.7825985,6.8191843,5.3812585,6.9417958,6.8095021,6.6406174,5.8789701,5.6362767,5.140573,5.24867182,5.549228614,4.977165826,5.205481666,5.119043725
2017/9/7 21:30,5.3581128,5.5720172,4.3898306,5.8421826,5.5635872,5.4934988,5.318851,4.7185912,5.149663,5.47636881,5.714949462,4.999530722,5.363051438,5.406589163
2017/9/7 21:45,5.4137659,5.8342156,4.9452829,6.1458545,6.4343171,6.0758324,5.8802428,4.0510893,3.9378791,4.12041118,4.347271812,3.908209187,4.017862185,3.981519096
2017/9/7 22:00,4.8640141,5.0338597,4.3428373,5.3570561,4.5456529,4.012115,4.4308844,4.2619729,3.3788471,3.45390651,3.499448261,3.220830241,2.992561625,3.034010878
2017/9/7 22:15,3.7885253,3.929136,3.1161661,4.2324004,4.4094443,3.8432107,3.4724112,5.9004622,5.2163367,5.53512831,5.332916805,5.441059119,4.886788675,5.230165593
2017/9/7 22:30,4.9972954,5.4250741,5.0108666,5.7056575,6.3790722,5.9808769,5.590764,9.1279621,9.3440256,9.96899919,9.640901955,9.887556258,9.660061081,9.860764945
2017/9/7 22:45,8.2669678,8.990283,9.3280458,9.2972975,10.719384,10.285038,9.7746,11.857822,11.98162,12.29576326,11.21486949,12.03326343,11.41380622,11.60451584
2017/9/7 23:00,10.150811,10.737749,11.023068,10.882555,11.748413,11.045568,10.881355,13.445302,13.093932,13.33604279,13.79482042,13.54222572,14.05184272,14.12850104
2017/9/7 23:15,12.482716,13.117824,14.149805,13.197853,14.758754,14.048609,13.531005,13.494886,12.924213,13.15974319,12.74860234,12.48373433,13.00258015,12.98325841
2017/9/7 23:30,12.08962,12.378994,12.533298,12.288697,12.858256,12.351876,12.049105,12.505685,11.804765,12.00791619,12.57751057,12.10452121,12.71399257,12.66035726
2017/9/7 23:45,12.115172,12.422659,12.739034,12.360682,12.763156,12.389836,12.265988,11.579721,11.549271,11.28885402,11.15231129,10.83644354,11.1429552,10.90007755
2017/9/8 0:00,11.027947,11.292179,10.801966,11.194353,10.793341,10.626811,10.694366,11.657951,12.085621,11.90370036,12.08274121,11.85781226,11.69499038,11.82871004
2017/9/8 0:15,12.167631,12.450048,13.006708,12.482088,12.367231,12.344152,12.276582,13.625289,14.025778,14.05708496,14.04249572,13.70666098,13.8275934,13.83800333
2017/9/8 0:30,13.692199,14.029323,14.614738,13.98208,14.074307,14.085934,14.053678,14.43548,14.546077,14.46435431,14.75887254,14.43715218,14.56752252,14.47459683
2017/9/8 0:45,14.390645,14.563692,15.288353,14.508641,14.318383,14.17149,14.387991,14.407486,14.482308,14.25514003,14.532237,14.10981374,14.17372597,14.24501194
2017/9/8 1:00,13.720271,13.95464,14.044001,13.913808,14.092304,14.051871,13.878055,13.869871,13.74006,13.38076377,13.71778639,13.16864779,13.5067863,13.61917232
2017/9/8 1:15,13.157823,13.392197,13.485932,13.35585,13.652108,13.602951,13.240849,13.591854,13.590024,13.26356767,12.95470046,13.11953884,12.88291063,12.9165888
2017/9/8 1:30,12.456584,12.716562,12.307491,12.753015,13.019363,12.981161,12.66426,13.443048,13.594099,13.42251472,13.54397412,13.29319892,13.42624263,13.44045369
2017/9/8 1:45,13.037161,13.396764,13.496177,13.428222,13.707252,13.795362,13.469634,13.670331,13.807701,13.64251208,13.45649576,13.47866085,13.09691663,13.25833669
2017/9/8 2:00,13.113203,13.368864,13.262522,13.411874,13.311954,13.347962,13.238229,13.942423,13.787008,13.59363612,13.78983456,13.33793084,13.4799585,13.35334012
2017/9/8 2:15,13.177731,13.411879,13.384592,13.440501,13.51121,13.541866,13.321512,13.239836,13.609951,13.53955475,14.08143656,13.49031995,13.63591658,13.67113726
2017/9/8 2:30,13.259754,13.542067,13.559016,13.553903,13.783508,13.839255,13.528877,12.787335,13.070369,12.96577505,13.24115164,12.59333172,12.88856811,12.79999231
2017/9/8 2:45,12.525299,12.731936,12.324973,12.769608,12.824192,12.809069,12.562795,12.373916,12.564158,12.54471878,12.47207836,12.33893359,12.14658091,12.04251564
2017/9/8 3:00,11.767261,12.044062,11.515848,12.096689,12.359289,12.332104,11.925193,12.735711,12.97342,13.16705739,13.95653357,13.07518274,13.66692851,13.66621588
2017/9/8 3:15,13.004641,13.436862,13.790677,13.524562,14.056983,14.144367,13.725434,13.563442,12.973258,13.03770214,12.81976514,12.39589076,12.69443191,12.49685559
2017/9/8 3:30,12.324396,12.512356,11.926188,12.549368,12.334246,12.279944,12.253528,12.755215,12.433412,12.36222106,12.57541959,12.43313322,12.19277318,12.36638991
2017/9/8 3:45,12.093475,12.382316,12.210345,12.447435,12.775456,12.742765,12.354792,12.748078,12.862823,13.01664058,12.84986074,12.60657683,12.68774102,12.89334748
2017/9/8 4:00,12.385065,12.746315,12.739505,12.800044,13.279922,13.29841,12.800861,12.805473,13.2679,13.57882288,13.28117601,13.33065574,13.2298489,13.34741124
2017/9/8 4:15,12.85814,13.133047,13.179425,13.211383,13.491979,13.478802,13.218143,13.057032,13.139975,13.37610789,13.35658787,13.07419986,13.05915349,13.17203752
2017/9/8 4:30,12.652356,12.976277,12.741544,12.990102,13.287882,13.261014,12.967769,13.475027,13.098598,13.14596013,13.40966652,13.10047977,13.03046716,13.12065115
2017/9/8 4:45,12.750717,13.055043,13.16879,13.105762,13.330378,13.322673,13.016761,13.906055,13.944901,14.12659635,13.83310284,13.67496821,13.57029723,13.80439412
2017/9/8 5:00,13.210754,13.533368,13.634076,13.586131,13.998409,14.033258,13.678588,14.149722,14.831121,14.96593247,15.08666865,14.80041012,15.13133414,15.18172655
2017/9/8 5:15,14.433943,14.80077,15.42046,14.80006,15.121778,15.189234,15.031491,15.251793,15.451236,15.48284214,14.84395448,15.22978819,14.81712831,14.99578092
2017/9/8 5:30,14.449731,14.715519,14.84598,14.707313,14.645938,14.687096,14.696176,16.745537,16.233818,16.3690622,15.81736439,16.12261204,15.98161443,16.00307707
2017/9/8 5:45,15.289522,15.614888,16.248869,15.603945,15.760469,15.869955,15.806473,17.335756,17.351,17.78312141,17.90496122,17.60599052,18.13225889,18.32290036
2017/9/8 6:00,17.194548,17.58399,18.718178,17.537306,17.90452,18.059631,18.007845,17.688219,17.538246,17.78466249,15.87344831,17.17288967,16.24331736,16.14154563
2017/9/8 6:15,15.869955,15.906774,15.593001,15.792015,15.279389,15.382257,15.491044,17.890669,18.581135,19.19963793,19.8822843,19.64454456,20.06228852,20.26507527
2017/9/8 6:30,18.841505,19.398468,21.036221,19.367844,20.410679,20.757082,20.223177,20.13759,19.452667,19.61542237,18.10976271,18.59721717,18.2838084,18.25005719
2017/9/8 6:45,17.880396,17.909939,17.644756,17.721638,16.729639,16.83688,17.421051,19.210083,18.395744,18.49341948,18.49974482,18.69670263,18.46999039,18.32231463
2017/9/8 7:00,17.910563,18.032658,18.56691,17.986866,18.85615,19.349102,18.108437,18.222315,18.423504,18.62225287,18.42473372,18.25898103,18.0046331,18.00544665
2017/9/8 7:15,17.413195,17.667902,17.384777,17.501513,16.595104,16.692686,17.521549,16.9673,17.782135,17.84874702,18.4739649,17.53776043,18.08483922,18.02440828
2017/9/8 7:30,17.861776,17.927824,18.325605,17.94105,18.459658,18.962511,17.864182,16.238735,16.704847,16.55250992,17.05949157,15.89184562,16.60071067,16.38126419
2017/9/8 7:45,16.113079,16.223753,14.98558,16.119677,15.549455,15.701219,15.913165,15.929865,15.358902,15.1257936,15.23279232,15.10461304,14.63277208,14.5893016
2017/9/8 8:00,14.909274,14.986102,14.258504,14.968457,14.385376,14.589861,14.481573,16.828178,17.690765,18.11989031,18.95772853,17.66568301,18.42893798,18.88739767
2017/9/8 8:15,17.577806,18.097765,18.766516,18.232918,19.086645,19.415373,18.98527,17.885891,18.357691,18.2594023,17.67090847,17.37940539,17.74079856,17.50767998
2017/9/8 8:30,17.130478,17.179104,16.650934,17.08279,16.460388,16.552713,16.829399,17.655903,17.051865,17.11446701,17.43448723,17.26573576,17.09200038,17.18895796
2017/9/8 8:45,16.501097,16.725376,16.417999,16.786366,16.975693,17.136681,16.872953,17.822567,16.847956,17.02247187,16.39607468,16.53476788,16.00150678,16.04183383
2017/9/8 9:00,15.453145,15.679962,14.811937,15.620144,14.982843,15.245198,15.474954,17.57679,17.631271,18.04921003,17.74297132,17.85677223,17.43284586,17.65720934
2017/9/8 9:15,16.802542,17.06724,17.466368,17.159319,18.346985,18.790384,17.481489,16.948471,17.595524,17.78615079,18.11729034,17.30412321,17.97673696,18.03136427
2017/9/8 9:30,17.067694,17.388165,17.13616,17.330776,17.227423,17.380281,17.566862,15.538788,15.103792,14.81994384,15.02098606,14.842582,14.79649312,14.61977199
2017/9/8 9:45,14.941296,14.919941,13.976822,14.902952,13.906736,14.071515,14.224288,14.873734,14.492846,14.32880862,13.82810252,13.80960079,13.08751652,13.36172927
2017/9/8 10:00,13.286473,13.457981,12.267559,13.51564,13.571242,13.756488,13.244501,14.786068,15.600023,16.05564219,16.06757119,16.02065667,15.89857645,16.06595067
2017/9/8 10:15,15.361701,15.761641,16.20603,15.809466,16.335482,16.5173,16.157217,14.962595,16.274611,16.83403442,16.1523991,16.15417753,16.3394371,16.33123503
2017/9/8 10:30,15.669601,15.901039,15.59482,15.972336,16.019684,16.062889,16.028976,14.147783,14.828325,15.29940232,15.87952177,15.13718431,15.84546309,15.79229325
2017/9/8 10:45,15.310228,15.558406,15.341084,15.571253,15.139066,15.198288,15.502049,13.717917,13.600117,13.78381297,12.95059279,13.34329273,12.68643049,12.72157431
2017/9/8 11:00,12.719462,12.779799,11.568551,12.786606,12.538213,12.551436,12.18061,14.305905,14.783605,15.35334588,14.38343368,15.01087864,14.2888026,14.38469613
