time,LSTM,CNN,GRU,bilstm,cnn-bilstm,cnn-gru,cnn-gru-attention,emd-cnn-gru-attention,eemd-cnn-gru-attention,iceemdan-cnn-gru-attention,vmd-cnn-gru-attention,iceemdan-cnn-gru-attention-arima,vmd-cnn-gru-attention-arima,vmd-cnn-gru-attention-vmd-arima
2017/9/7 6:30,0.71074533,0.25876808,0.25876808,0.28934711,0.60946268,0.12507245,0.1774005,-0.59920359,-0.1670398,0.335721595,0.064124819,0.022477091,0.064124819,0.064124819
2017/9/7 6:45,0.69600922,0.22012499,0.22012499,0.25076106,0.55221695,0.090310544,0.13294268,-0.59296942,-0.1052755,0.557474118,0.407538105,0.391640876,0.407538105,0.407538105
2017/9/7 7:00,0.95693129,0.64282358,0.64282358,0.66810584,0.75350136,0.31609723,0.54306573,-0.52236438,0.043309871,0.386509674,0.111328795,0.046210178,0.111328795,0.111328795
2017/9/7 7:15,0.86635196,0.36678049,0.36678049,0.39539635,0.58587641,0.1291928,0.23153967,-0.61895466,-0.015523564,0.148995732,0.116394005,-0.005716547,0.116394005,0.116394005
2017/9/7 7:30,0.79089475,0.3172048,0.3172048,0.34225148,0.64156765,0.15665957,0.11783763,-0.85800219,-0.061171286,0.083920728,0.155944035,-0.078623351,0.155944035,0.155944035
2017/9/7 7:45,0.73657513,0.24541828,0.24541828,0.27620724,0.45397708,0.01172158,0.086539678,-0.85826349,0.007905077,0.044850945,0.122409341,-0.199764277,0.122409341,0.122409341
2017/9/7 8:00,0.77084559,0.28308064,0.28308064,0.31401634,0.56749958,0.13554999,0.26949033,-0.49243307,0.39183524,0.326763464,0.234104215,0.173017418,0.234104215,0.234104215
2017/9/7 8:15,0.7533592,0.34429085,0.34429085,0.37669194,0.68280977,0.18729112,0.2776441,0.1474061,1.0126662,1.377597323,1.240833539,1.290354181,1.240833539,1.240833539
2017/9/7 8:30,1.2892141,1.1547363,1.1547363,1.1687652,1.1369405,0.74641269,1.1855372,0.83994269,1.4200467,1.921737482,1.537855521,1.782376266,1.537855521,1.537855521
2017/9/7 8:45,1.8211499,1.7817661,1.7817661,1.788458,1.3935447,1.0458956,1.6491379,0.95996261,1.4935342,1.586810243,1.169895304,1.298746255,1.169895304,1.169895304
2017/9/7 9:00,1.8073108,1.4446603,1.4446603,1.4598999,1.3679471,0.91457504,1.0110891,0.41778851,1.1818624,1.001449453,0.758496434,0.895437645,0.758496434,0.758496434
2017/9/7 9:15,1.5416877,1.0751828,1.0751828,1.0959079,0.94927973,0.5053739,0.4668791,-0.059021235,0.82203376,0.616808496,0.363135204,0.391062707,0.363135204,0.363135204
2017/9/7 9:30,1.2763176,0.65216029,0.65216029,0.69152409,0.61221451,0.25496098,0.40274426,-0.47118473,0.54053146,0.470071307,0.425590064,0.316842674,0.425590064,0.425590064
2017/9/7 9:45,1.2105951,0.78635907,0.78635907,0.83540076,1.000689,0.58564276,0.90593565,-0.48547316,0.52540523,0.250891358,0.207560929,-0.119818791,0.207560929,0.207560929
2017/9/7 10:00,0.80081397,0.24196079,0.24196079,0.30414277,0.90775102,0.41180894,0.52244347,-0.59198332,0.19694138,0.022130883,-0.125384828,-0.111216797,-0.125384828,-0.125384828
