日期,收盘,开盘,高,低,交易量,涨跌幅
2020年7月20日,15.69,16.25,16.45,15.68,21.26M,-3.62%
2020年7月21日,17.41,16.12,18.03,16.07,44.47M,10.96%
2020年7月22日,16.95,17.12,17.14,16.65,16.99M,-2.64%
2020年7月23日,16.82,16.71,17.07,16.57,14.04M,-0.77%
2020年7月24日,16.74,16.82,17.28,16.63,12.78M,-0.48%
2020年7月27日,16.7,16.73,16.9,16.41,13.96M,-0.24%
2020年7月28日,16.35,16.48,16.78,16.31,12.86M,-2.10%
2020年7月29日,17.03,16.53,17.04,16.45,16.38M,4.16%
2020年7月30日,15.77,16.55,16.63,15.75,29.34M,-7.40%
2020年7月31日,15.74,15.81,15.84,15.41,15.45M,-0.19%
2020年8月3日,15.25,15.75,15.76,15.1,22.89M,-3.11%
2020年8月4日,15.74,15.15,16,15.13,21.70M,3.21%
2020年8月5日,15.94,16.42,16.49,15.86,24.68M,1.27%
2020年8月6日,15.45,15.91,16.01,15.38,18.75M,-3.07%
2020年8月7日,15.45,15.46,15.55,14.96,20.96M,0.00%
2020年8月10日,16.48,15.67,16.48,15.62,26.72M,6.67%
2020年8月11日,15.16,16.44,16.74,15.1,41.89M,-8.01%
2020年8月12日,14.92,15.5,15.55,14.85,31.80M,-1.58%
2020年8月13日,14.6,14.95,15.25,14.54,28.46M,-2.14%
2020年8月14日,14.64,14.5,14.72,14.36,21.27M,0.27%
2020年8月17日,13.91,14.47,14.51,13.73,31.11M,-4.99%
2020年8月18日,13.95,13.93,14.19,13.83,16.76M,0.29%
2020年8月19日,13.82,13.93,14.12,13.75,18.14M,-0.93%
2020年8月20日,13.4,13.52,13.73,13.25,21.87M,-3.04%
2020年8月21日,13.16,13.39,13.42,12.93,22.67M,-1.79%
2020年8月24日,13.62,13.13,13.72,13.03,18.72M,3.50%
2020年8月25日,13.51,13.81,14.03,13.31,16.30M,-0.81%
2020年8月26日,12.96,13.42,13.47,12.95,19.79M,-4.07%
2020年8月27日,13.04,13.02,13.14,12.72,20.13M,0.62%
2020年8月28日,13.13,12.96,13.22,12.89,14.11M,0.69%
2020年8月31日,12.74,13.16,13.17,12.73,17.91M,-2.97%
2020年9月1日,12.48,12.59,12.62,12.33,23.05M,-2.04%
2020年9月2日,12.4,12.32,12.66,12.28,19.13M,-0.64%
2020年9月3日,12.59,12.35,12.9,12.35,26.08M,1.53%
2020年9月4日,12.25,12.72,12.84,12.12,22.77M,-2.70%
2020年9月8日,11.06,11.87,11.98,11.02,36.64M,-9.71%
2020年9月9日,11.07,11.21,11.21,10.9,22.10M,0.09%
2020年9月10日,10.19,11.05,11.08,10.18,43.47M,-7.95%
2020年9月11日,10.22,10.19,10.36,9.83,35.18M,0.29%
2020年9月14日,10.17,10.22,10.38,9.93,25.20M,-0.49%
2020年9月15日,10.71,10.23,10.88,10.2,34.68M,5.31%
2020年9月16日,11.64,10.87,12.03,10.65,53.22M,8.68%
2020年9月17日,11.86,11.2,12.03,11.17,27.86M,1.89%
2020年9月18日,11.65,11.79,12.09,11.47,40.72M,-1.77%
2020年9月21日,11.29,11.09,11.32,10.9,23.03M,-3.09%
2020年9月22日,11.08,11.33,11.59,11.03,17.45M,-1.86%
2020年9月23日,10.41,11.13,11.27,10.39,24.50M,-6.05%
2020年9月24日,10.64,10.34,10.87,10.16,22.87M,2.21%
2020年9月25日,10.22,10.46,10.58,10.11,30.81M,-3.95%
2020年9月28日,10.34,10.42,10.65,10.31,22.62M,1.17%
2020年9月29日,9.99,10.34,10.35,9.87,29.58M,-3.38%
2020年9月30日,10.01,10.02,10.27,9.94,23.36M,0.20%
2020年10月1日,9.68,9.97,9.98,9.57,32.99M,-3.30%
2020年10月2日,9.87,9.25,9.9,9.23,28.57M,1.96%
2020年10月5日,10.51,10.1,10.52,10.01,24.67M,6.48%
2020年10月6日,10.13,10.67,10.78,10.04,29.49M,-3.62%
2020年10月7日,10.28,10.23,10.32,10.12,17.45M,1.48%
2020年10月8日,11.18,10.41,11.2,10.33,27.49M,8.75%
2020年10月9日,10.82,11.2,11.34,10.74,26.63M,-3.22%
2020年10月12日,10.81,10.64,10.85,10.4,18.54M,-0.09%
2020年10月13日,10.52,10.76,10.96,10.44,15.52M,-2.68%
2020年10月14日,10.45,10.52,10.95,10.44,20.11M,-0.67%
2020年10月15日,10.61,10.23,10.61,10,18.91M,1.53%
2020年10月16日,10.09,10.51,10.53,10.07,19.24M,-4.90%
2020年10月19日,9.82,10.19,10.21,9.81,22.07M,-2.68%
2020年10月20日,10.07,9.92,10.2,9.83,17.40M,2.55%
2020年10月21日,9.66,9.86,9.96,9.66,22.78M,-4.07%
2020年10月22日,10.17,9.7,10.2,9.66,25.22M,5.28%
2020年10月23日,10.02,10.25,10.36,9.9,19.87M,-1.47%
2020年10月26日,9.46,9.79,9.84,9.34,26.75M,-5.59%
2020年10月27日,9.27,9.4,9.5,9.27,20.73M,-2.01%
2020年10月28日,8.88,8.98,9.16,8.78,30.99M,-4.21%
2020年10月29日,9.13,8.7,9.18,8.52,28.73M,2.82%
2020年10月30日,9.13,9,9.19,8.85,23.15M,0.00%
2020年11月2日,9.65,9.26,9.8,9.03,28.54M,5.70%
2020年11月3日,9.69,9.89,10.01,9.59,19.26M,0.41%
2020年11月4日,9.81,9.66,9.99,9.32,22.38M,1.24%
2020年11月5日,10.47,9.77,10.62,9.77,35.11M,6.73%
2020年11月6日,10.01,10.34,10.47,9.94,21.65M,-4.39%
2020年11月9日,12.23,11.55,12.7,11.44,60.44M,22.18%
2020年11月10日,12.38,12.08,12.45,11.65,31.41M,1.23%
2020年11月11日,11.9,12.69,12.7,11.74,28.60M,-3.88%
2020年11月12日,11.31,11.58,11.96,11.19,19.65M,-4.96%
2020年11月13日,11.8,11.4,11.93,11.37,16.91M,4.33%
2020年11月16日,12.7,12.5,12.71,12.25,24.35M,7.63%
2020年11月17日,12.99,12.36,12.99,12.26,18.67M,2.28%
2020年11月18日,12.87,13.08,13.71,12.86,29.66M,-0.92%
2020年11月19日,13.36,12.67,13.42,12.56,20.16M,3.81%
2020年11月20日,13.49,13.69,13.71,13.29,20.18M,0.97%
2020年11月23日,15.76,13.85,15.81,13.83,44.96M,16.83%
2020年11月24日,16.78,16.97,17.27,16.31,54.35M,6.47%
2020年11月25日,16.72,16.65,17.09,15.94,29.71M,-0.36%
2020年11月27日,16.56,16.72,16.95,16.34,13.27M,-0.96%
2020年11月30日,15.76,16.24,16.55,15.72,31.06M,-4.83%
2020年12月1日,15.13,15.9,16.14,14.97,31.36M,-4.00%
2020年12月2日,15.89,14.92,16.51,14.77,33.05M,5.02%
2020年12月3日,16.39,16.03,16.74,15.66,26.61M,3.15%
2020年12月4日,18.59,16.91,18.61,16.9,52.87M,13.42%
2020年12月7日,18.19,17.83,18.68,17.55,32.25M,-2.15%
2020年12月8日,19.13,17.86,19.3,17.82,32.92M,5.17%
2020年12月9日,19.39,19.65,20.4,18.82,44.63M,1.36%
2020年12月10日,21.31,19.4,21.61,19.3,52.29M,9.90%
2020年12月11日,20.89,21.21,21.35,20.35,30.94M,-1.97%
2020年12月14日,19.17,21.43,21.65,19.08,36.15M,-8.23%
2020年12月15日,19.84,19.56,20.18,18.82,26.90M,3.50%
2020年12月16日,19.45,19.77,19.88,19.24,17.05M,-1.97%
2020年12月17日,19.18,19.72,19.77,19.1,17.63M,-1.39%
2020年12月18日,18.52,19.07,19.48,18.45,38.21M,-3.44%
2020年12月21日,17.47,17.01,18.03,16.94,29.67M,-5.67%
2020年12月22日,16.92,17.5,17.57,16.88,21.54M,-3.15%
2020年12月23日,17.89,17.13,18.39,17.05,24.01M,5.73%
2020年12月24日,17.67,18.17,18.17,17.4,9.20M,-1.23%
2020年12月28日,17.4,17.72,18.11,17.35,14.62M,-1.53%
2020年12月29日,17.24,17.59,17.79,17.09,18.07M,-0.92%
2020年12月30日,17.91,17.21,18.14,17.14,16.52M,3.89%
2020年12月31日,17.31,17.81,17.92,17.3,15.19M,-3.35%
2021年1月4日,17.45,17.75,17.98,17.32,18.50M,0.81%
2021年1月5日,19.21,17.8,19.95,17.65,37.29M,10.09%
2021年1月6日,20,19.52,20.28,18.97,37.16M,4.11%
2021年1月7日,20.57,20.21,21.15,20.03,24.30M,2.85%
2021年1月8日,20.08,20.88,21.03,19.87,18.28M,-2.38%
2021年1月11日,20.08,19.25,20.18,19,15.17M,0.00%
2021年1月12日,22.62,20.59,22.79,20.27,37.33M,12.65%
2021年1月13日,22.33,22.69,22.78,22.13,19.53M,-1.28%
2021年1月14日,24.24,22.84,24.6,22.62,29.88M,8.55%
2021年1月15日,22.39,23.45,23.71,22.36,24.70M,-7.63%
2021年1月19日,23.07,23.05,23.75,22.87,21.93M,3.04%
2021年1月20日,23.02,23.27,23.53,22.75,14.74M,-0.22%
2021年1月21日,21.54,22.91,22.99,21.44,19.33M,-6.43%
2021年1月22日,21.49,20.67,21.6,20.26,17.64M,-0.23%
2021年1月25日,21.51,21,21.62,20.67,15.40M,0.09%
2021年1月26日,20.38,21.9,22.42,20.35,19.14M,-5.25%
2021年1月27日,20.58,19.99,21.66,19.46,25.69M,0.98%
2021年1月28日,20.95,20.8,21.49,20.23,16.44M,1.80%
2021年1月29日,20.06,20.66,21.38,19.73,19.97M,-4.25%
2021年2月1日,20.39,20.63,20.75,19.8,13.69M,1.65%
2021年2月2日,20.73,21.49,21.77,20.62,15.51M,1.67%
2021年2月3日,22.02,20.98,22.16,20.86,18.31M,6.22%
2021年2月4日,22.3,22.33,22.59,21.66,13.25M,1.27%
2021年2月5日,22.56,22.83,23.14,22.2,13.23M,1.17%
2021年2月8日,25.45,23.02,25.5,23,31.51M,12.81%
2021年2月9日,24.65,24.6,25.15,24.1,20.76M,-3.14%
2021年2月10日,25.6,24.83,25.79,24.8,22.40M,3.85%
2021年2月11日,24.98,25.4,25.41,24.08,15.23M,-2.42%
2021年2月12日,25.39,24.69,25.75,24.56,12.38M,1.64%
2021年2月16日,26.46,26.66,26.95,25.88,19.26M,4.21%
2021年2月17日,26.73,26.84,27.18,25.85,15.20M,1.02%
2021年2月18日,25.28,26.45,26.73,25.21,15.31M,-5.42%
2021年2月19日,25.42,25.32,25.9,25.03,14.94M,0.55%
2021年2月22日,26.47,25.99,27.46,25.82,22.82M,4.13%
2021年2月23日,26.06,26.29,26.65,24.42,22.59M,-1.55%
2021年2月24日,28.16,26.5,28.68,25.96,27.79M,8.06%
2021年2月25日,26.75,28.17,28.54,26.45,21.14M,-5.01%
2021年2月26日,26.61,26.26,27.01,25.2,21.63M,-0.52%
2021年3月1日,27.64,27.37,28.28,27.01,16.19M,3.87%
2021年3月2日,27.82,27.59,28.51,27.32,16.56M,0.65%
2021年3月3日,28.66,28,29.45,28,20.38M,3.02%
2021年3月4日,29.9,29.18,30.63,28.54,39.49M,4.33%
2021年3月5日,31.23,31.59,32.52,30,42.03M,4.45%
2021年3月8日,29.77,31.68,31.9,29.63,22.68M,-4.67%
2021年3月9日,28.65,29.22,29.72,28.21,23.87M,-3.76%
2021年3月10日,29.36,28.85,29.63,28.54,24.10M,2.48%
2021年3月11日,30.98,29.94,31.83,29.77,21.98M,5.52%
2021年3月12日,30.63,30.7,31.27,30.46,16.11M,-1.13%
2021年3月15日,29.3,30.04,30.31,28.77,19.58M,-4.34%
2021年3月16日,28.17,28.6,29.24,27.79,16.90M,-3.86%
2021年3月17日,29.04,28.04,29.13,27.94,16.24M,3.09%
2021年3月18日,26.62,28.49,28.67,26.51,24.42M,-8.33%
2021年3月19日,28.1,27,28.56,26.7,29.56M,5.56%
2021年3月22日,27.46,27.82,28.23,27.27,14.20M,-2.28%
2021年3月23日,26.59,26.38,27.28,26.09,20.61M,-3.17%
2021年3月24日,27.06,27.5,27.97,26.96,15.60M,1.77%
2021年3月25日,26.7,26.3,26.78,25.35,18.17M,-1.33%
2021年3月26日,27.76,27.74,27.9,26.86,16.27M,3.97%
2021年3月29日,27,27.31,27.34,26.36,13.91M,-2.74%
2021年3月30日,27.33,26.69,27.71,26.54,9.80M,1.22%
2021年3月31日,26.62,27.33,27.41,26.61,15.99M,-2.60%
2021年4月1日,27.38,26.82,27.82,26.41,27.31M,2.85%
2021年4月5日,25.31,27,27.15,25.07,32.08M,-7.56%
2021年4月6日,25.35,25.62,26.19,25.25,20.23M,0.16%
2021年4月7日,25.3,25.49,25.67,25.01,14.35M,-0.20%
2021年4月8日,24.73,24.92,24.95,24.24,14.91M,-2.25%
2021年4月9日,24.59,24.75,25.03,24.37,10.38M,-0.57%
2021年4月12日,24.23,24.78,25.16,23.94,15.39M,-1.46%
2021年4月13日,24.29,24.17,24.52,23.92,11.11M,0.25%
2021年4月14日,25.55,25,26.05,24.92,26.39M,5.19%
2021年4月15日,24.86,25.34,25.35,24.68,13.54M,-2.70%
2021年4月16日,24.38,25,25.18,24.25,11.49M,-1.93%
2021年4月19日,24.54,24.48,25.11,24.24,11.16M,0.66%
2021年4月20日,23.2,24.5,24.51,22.97,18.74M,-5.46%
2021年4月21日,24.45,22.45,24.47,22.4,19.50M,5.39%
2021年4月22日,24.1,24.57,24.71,23.92,16.45M,-1.43%
2021年4月23日,24.65,24.25,24.8,23.77,10.83M,2.28%
2021年4月26日,24.9,24.43,25.14,24.41,12.52M,1.01%
2021年4月27日,25.09,25.11,25.4,24.65,13.88M,0.76%
2021年4月28日,26.1,25.35,26.24,25.31,20.74M,4.03%
2021年4月29日,25.94,26.56,26.98,25.66,18.23M,-0.61%
2021年4月30日,25.36,25.55,26.31,25.29,14.84M,-2.24%
2021年5月3日,26.14,25.65,26.28,25.38,13.38M,3.08%
2021年5月4日,25.86,26.51,26.57,25.12,15.04M,-1.07%
2021年5月5日,27.05,26.3,27.34,25.91,19.85M,4.60%
2021年5月6日,26.65,27.1,27.2,26.01,14.46M,-1.48%
2021年5月7日,27.39,26.02,27.54,25.85,17.63M,2.78%
2021年5月10日,26.63,27.71,28.13,26.56,19.19M,-2.77%
2021年5月11日,24.53,25.4,25.61,24.3,30.53M,-7.89%
2021年5月12日,25.12,24.64,26.47,24.58,26.92M,2.41%
2021年5月13日,23.71,24.69,25.24,23.32,20.69M,-5.61%
2021年5月14日,25.1,24.12,25.4,24.12,19.64M,5.86%
2021年5月17日,26.39,25.24,26.41,24.94,17.23M,5.14%
2021年5月18日,25.87,26.34,26.83,25.8,15.99M,-1.97%
2021年5月19日,25.07,24.96,25.61,24.65,18.16M,-3.09%
2021年5月20日,24.95,25.14,25.22,24.49,14.55M,-0.48%
2021年5月21日,25.12,25.38,25.66,25.03,13.21M,0.68%
2021年5月24日,25.44,25.38,25.55,24.9,13.10M,1.27%
2021年5月25日,24.62,25.4,25.59,24.59,13.77M,-3.22%
2021年5月26日,25.29,24.67,25.44,24.55,14.08M,2.72%
2021年5月27日,26.07,25.79,26.19,25.59,19.89M,3.08%
2021年5月28日,25.96,26.11,26.25,25.78,10.13M,-0.42%
2021年6月1日,28.47,26.67,28.49,26.66,27.70M,9.67%
2021年6月2日,29.23,28.68,29.88,28.02,28.27M,2.67%
2021年6月3日,29.28,29.21,30.05,28.73,19.50M,0.17%
2021年6月4日,29.14,29.44,29.91,28.61,16.13M,-0.48%
2021年6月7日,29.16,29.32,29.79,28.98,10.04M,0.07%
2021年6月8日,29.19,29.09,29.49,28.48,12.13M,0.10%
2021年6月9日,28.35,29.49,29.69,28.34,15.37M,-2.88%
2021年6月10日,28.33,29.05,29.29,27.91,14.21M,-0.07%
2021年6月11日,28.33,28.52,28.96,28.21,10.86M,0.00%
2021年6月14日,28.28,28.66,29.38,27.98,13.83M,-0.18%
2021年6月15日,29.2,28.41,29.26,28.36,13.09M,3.25%
2021年6月16日,30.54,28.92,30.69,28.5,42.71M,4.59%
2021年6月17日,28.22,30.27,30.69,27.82,39.32M,-7.60%
2021年6月18日,27.99,28.17,28.84,27.85,24.07M,-0.82%
2021年6月21日,29.5,28.16,29.59,28.16,18.63M,5.39%
2021年6月22日,30.01,29.36,30.07,29.03,15.20M,1.73%
2021年6月23日,30.96,30.65,31.84,30.57,24.07M,3.17%
2021年6月24日,31.74,30.74,31.77,30.43,15.18M,2.52%
2021年6月25日,32.91,31.9,33.01,31.55,25.21M,3.69%
2021年6月28日,31.24,32.61,32.63,31.04,17.43M,-5.07%
2021年6月29日,31.3,31.5,32.36,31.12,15.62M,0.19%
2021年6月30日,31.27,31.7,31.88,31,12.82M,-0.10%
2021年7月1日,32.86,32.96,33.49,32.21,23.10M,5.08%
2021年7月2日,32.58,32.42,32.86,32.03,10.67M,-0.85%
2021年7月6日,30.51,32.43,32.43,30.36,21.47M,-6.35%
2021年7月7日,29.48,30.8,31.17,29.02,20.24M,-3.38%
2021年7月8日,29.66,28.52,29.91,28.52,16.38M,0.61%
2021年7月9日,30.24,30.22,30.4,29.57,13.11M,1.96%
2021年7月12日,29.99,29.55,30.3,29.31,11.17M,-0.83%
2021年7月13日,30.08,29.78,30.27,29.5,11.04M,0.30%
2021年7月14日,27.83,30.21,30.62,27.64,22.82M,-7.48%
2021年7月15日,27.23,27.63,28.25,26.93,18.36M,-2.16%
2021年7月16日,25.94,27.5,27.59,25.87,18.51M,-4.74%
2021年7月19日,24.82,24.39,25.11,23.9,28.38M,-4.32%
2021年7月20日,25.37,24.8,25.8,24.52,17.07M,2.22%
2021年7月21日,27.18,25.87,27.55,25.87,19.63M,7.13%
2021年7月22日,27.01,27.14,27.34,26.44,12.46M,-0.63%
2021年7月23日,26.58,27.04,27.07,26.25,9.50M,-1.59%
2021年7月26日,27.12,26.77,27.6,26.72,11.08M,2.03%
2021年7月27日,26.26,26.66,26.84,25.9,12.87M,-3.17%
2021年7月28日,26.9,26.65,27.22,26.07,11.77M,2.44%
2021年7月29日,26.78,27.38,27.41,26.68,11.72M,-0.45%
2021年7月30日,26.1,26.51,26.81,25.92,15.12M,-2.54%
2021年8月2日,25.79,26.12,27.05,25.73,13.88M,-1.19%
2021年8月3日,26.43,25.57,26.44,25.22,15.22M,2.48%
2021年8月4日,25.69,25.99,26.88,25.45,20.78M,-2.80%
2021年8月5日,26.19,25.96,26.82,25.88,12.98M,1.95%
2021年8月6日,26.39,26.68,27.08,26.23,12.86M,0.76%
2021年8月9日,25.61,25.57,26.13,25.35,12.03M,-2.96%
2021年8月10日,26.26,25.75,26.42,25.67,13.27M,2.54%
2021年8月11日,26.84,26.33,26.84,26,15.22M,2.21%
2021年8月12日,26.87,26.77,26.98,26.28,9.22M,0.11%
2021年8月13日,25.79,26.76,26.87,25.75,12.00M,-4.02%
2021年8月16日,24.79,25.2,25.26,24.42,16.28M,-3.88%
2021年8月17日,24.08,24.59,24.89,23.92,15.95M,-2.86%
