日期,收盘,开盘,高,低,交易量,涨跌幅
2019年6月3日,49.32,50.3,50.6,49.05,11.15M,-0.90%
2019年6月4日,49.69,49.64,50.11,49.32,8.84M,0.75%
2019年6月5日,47.43,49.61,49.64,47,18.56M,-4.55%
2019年6月6日,49.04,47.75,49.21,47.65,11.66M,3.39%
2019年6月7日,47.84,48.57,48.57,47.63,11.71M,-2.45%
2019年6月10日,47.9,48.08,48.59,47.7,9.86M,0.13%
2019年6月11日,49.05,48.67,49.29,48.15,12.87M,2.40%
2019年6月12日,48.79,48.73,48.9,47.87,7.64M,-0.53%
2019年6月13日,49.73,49.57,49.8,49.13,8.01M,1.93%
2019年6月14日,49.31,49.76,49.83,49.2,7.78M,-0.84%
2019年6月17日,49.81,49.29,50.38,48.96,7.42M,1.01%
2019年6月18日,50.35,50.05,50.47,49.75,9.47M,1.08%
2019年6月19日,50.3,50.23,51.03,49.99,8.91M,-0.10%
2019年6月20日,51.3,51.08,51.6,50.57,7.39M,1.99%
2019年6月21日,50.61,51.43,51.63,50.45,10.30M,-1.35%
2019年6月24日,49.89,50.33,50.65,49.68,9.65M,-1.42%
2019年6月25日,49.38,49.62,49.94,49.34,4.58M,-1.02%
2019年6月26日,50.42,49.87,51.25,49.61,7.03M,2.11%
2019年6月27日,49.75,50.36,50.65,49.61,5.39M,-1.33%
2019年6月28日,50.28,49.85,50.28,49.54,6.75M,1.07%
2019年7月1日,49.78,51,51.36,49.68,7.26M,-0.99%
2019年7月2日,48.78,49.77,49.77,47.95,10.16M,-2.01%
2019年7月3日,49.17,48.87,49.25,48.55,4.44M,0.80%
2019年7月5日,49.28,49.13,49.55,48.87,5.61M,0.22%
2019年7月8日,49.3,49.25,49.51,49.01,4.74M,0.04%
2019年7月9日,49.61,49.27,49.67,48.7,7.46M,0.63%
2019年7月10日,50.24,50.08,50.39,49.45,7.59M,1.27%
2019年7月11日,50.44,50.42,50.54,50.07,6.40M,0.40%
2019年7月12日,51.72,50.57,52.1,50.4,9.10M,2.54%
2019年7月15日,51.63,51.82,51.97,51.3,10.13M,-0.17%
2019年7月16日,51.1,51.29,51.44,50.7,8.79M,-1.03%
2019年7月17日,51.18,51.03,51.55,50.91,7.62M,0.16%
2019年7月18日,51.01,51,51.14,50.62,9.69M,-0.33%
2019年7月19日,52.33,51.04,52.41,50.85,7.20M,2.59%
2019年7月22日,52.51,52.35,52.7,51.47,6.00M,0.34%
2019年7月23日,51.8,52.62,52.65,51.59,5.82M,-1.35%
2019年7月24日,52.05,51.85,52.67,51.82,6.10M,0.48%
2019年7月25日,51.14,52.23,52.33,51.03,6.63M,-1.75%
2019年7月26日,51.59,51.26,51.87,51.08,5.45M,0.88%
2019年7月29日,50.91,51.57,51.64,50.3,6.41M,-1.32%
2019年7月30日,52.47,50.68,52.47,50.52,7.42M,3.06%
2019年7月31日,51.36,52.25,52.4,50.79,12.34M,-2.12%
2019年8月1日,53.17,51,54.05,50.92,14.07M,3.52%
2019年8月2日,51.18,53,53.16,50.77,12.21M,-3.74%
2019年8月5日,49.42,50.25,50.46,49.1,9.98M,-3.44%
2019年8月6日,47.58,49.63,49.63,46.76,13.01M,-3.72%
2019年8月7日,46,46.69,46.94,44.88,16.69M,-3.32%
2019年8月8日,47.13,46.57,47.47,45.13,23.94M,2.46%
2019年8月9日,47.13,46.85,47.94,46.8,9.88M,0.00%
2019年8月12日,44.99,46.95,46.98,44.93,13.46M,-4.54%
2019年8月13日,44.76,44.74,44.96,44.01,17.64M,-0.51%
2019年8月14日,43.7,43.79,44.02,43.08,16.95M,-2.37%
2019年8月15日,43.96,43.6,44.48,43.15,9.35M,0.59%
2019年8月16日,44.57,44.13,44.83,44.01,8.51M,1.39%
2019年8月19日,45.58,44.79,45.96,44.75,9.85M,2.27%
2019年8月20日,45.26,45.61,45.9,45.16,7.38M,-0.70%
2019年8月21日,45.06,45.09,45.46,44.17,8.50M,-0.44%
2019年8月22日,44.7,45.26,45.76,44.69,5.87M,-0.80%
2019年8月23日,42.37,44.05,44.13,42.17,12.55M,-5.21%
2019年8月26日,42.13,42.94,43.01,41.83,8.30M,-0.57%
2019年8月27日,42.35,42.59,42.8,41.83,7.32M,0.52%
2019年8月28日,43.11,42.58,43.34,42.51,7.08M,1.79%
2019年8月29日,43.37,43.4,44.1,43.29,6.65M,0.60%
2019年8月30日,43.48,43.52,43.88,42.79,6.88M,0.25%
2019年9月3日,42.68,42.86,42.98,42.37,6.92M,-1.84%
2019年9月4日,43.58,43.3,43.85,43.19,4.84M,2.11%
2019年9月5日,45.09,43.94,45.34,43.94,9.68M,3.46%
2019年9月6日,45.46,44.95,45.81,44.55,10.96M,0.82%
2019年9月9日,44.97,45,45.13,44.53,11.07M,-1.08%
2019年9月10日,46.43,45.3,46.73,45.22,9.77M,3.25%
2019年9月11日,46.29,46.5,46.9,45.67,7.66M,-0.30%
2019年9月12日,45.4,45.76,46.12,45.18,7.40M,-1.92%
2019年9月13日,45.09,46,46.4,44.96,11.15M,-0.68%
2019年9月16日,47.8,47.61,48.85,47.38,24.12M,6.01%
2019年9月17日,45.15,47.92,47.95,45.14,15.55M,-5.54%
2019年9月18日,44.62,44.85,45.18,44.4,9.88M,-1.17%
2019年9月19日,45.79,45,46.21,44.79,10.55M,2.62%
2019年9月20日,45.7,45.99,46.3,45.26,8.62M,-0.20%
2019年9月23日,45.5,45.36,45.91,44.97,7.37M,-0.44%
2019年9月24日,45.47,45.48,45.94,45.12,6.53M,-0.07%
2019年9月25日,45.33,45.11,45.58,44.7,4.37M,-0.31%
2019年9月26日,45.35,45.05,45.38,44.41,4.97M,0.04%
2019年9月27日,45.14,45.04,45.76,44.8,4.52M,-0.46%
2019年9月30日,44.47,45,45.14,44.13,6.53M,-1.48%
2019年10月1日,43.77,44.67,45.42,43.67,5.24M,-1.57%
2019年10月2日,42.94,43.64,43.74,42.74,6.08M,-1.90%
2019年10月3日,43.2,42.75,43.4,42.26,5.71M,0.61%
2019年10月4日,43.07,43.1,43.45,42.55,5.11M,-0.30%
2019年10月7日,42.18,42.9,43.04,42.17,7.50M,-2.07%
2019年10月8日,40.83,41.9,42.3,40.82,8.76M,-3.20%
2019年10月9日,40.84,41.36,41.52,40.45,7.12M,0.02%
2019年10月10日,41.03,40.95,41.54,40.55,7.80M,0.47%
2019年10月11日,41.12,41.51,41.79,41.07,7.39M,0.22%
2019年10月14日,40.51,41.03,41.07,39.97,12.95M,-1.48%
2019年10月15日,40.8,40.41,41.3,40.27,6.22M,0.72%
2019年10月16日,40.34,40.7,41.31,40.32,5.81M,-1.13%
2019年10月17日,40.33,40.37,40.76,40.07,6.49M,-0.02%
2019年10月18日,40.45,40.35,41.1,40.35,6.97M,0.30%
2019年10月21日,40.82,40.57,40.85,40.28,6.77M,0.91%
2019年10月22日,42.22,40.9,42.71,40.77,10.62M,3.43%
2019年10月23日,42.92,42.07,42.92,41.84,7.83M,1.66%
2019年10月24日,42.29,43,43.1,41.91,7.27M,-1.47%
2019年10月25日,42.53,42.29,42.96,42.2,5.27M,0.57%
2019年10月28日,42.28,42.67,42.99,42.26,4.64M,-0.59%
2019年10月29日,42.33,42,42.6,41.53,6.37M,0.12%
2019年10月30日,41.36,42.33,42.38,41.18,5.56M,-2.29%
2019年10月31日,40.5,41.23,41.36,40.11,12.52M,-2.08%
2019年11月1日,42.29,40.75,42.29,40.74,9.02M,4.42%
2019年11月4日,44.23,42.99,44.62,42.95,13.45M,4.59%
2019年11月5日,41.91,42.15,44.04,40.76,19.34M,-5.25%
2019年11月6日,39.61,41.62,41.71,39.37,17.04M,-5.49%
2019年11月7日,39.03,40.09,40.66,38.47,15.28M,-1.46%
2019年11月8日,40.1,38.65,40.2,38.3,13.61M,2.74%
2019年11月11日,38.88,39.13,39.33,38.46,14.59M,-3.04%
2019年11月12日,38.44,38.9,39.25,38.06,12.82M,-1.13%
2019年11月13日,38.12,38.26,38.36,37.96,9.39M,-0.83%
2019年11月14日,37.76,38.11,38.68,37.6,8.83M,-0.94%
2019年11月15日,38.95,39.02,39.34,38.51,14.17M,3.15%
2019年11月18日,39.3,39.15,39.47,38.54,13.13M,0.90%
2019年11月19日,38.14,39.14,39.14,37.94,12.54M,-2.95%
2019年11月20日,38.48,38.07,39.25,37.7,10.30M,0.89%
2019年11月21日,39.12,38.5,39.38,38.45,9.31M,1.66%
2019年11月22日,39.58,39.2,39.94,38.98,9.47M,1.18%
2019年11月25日,39.93,39.77,40.57,39.7,10.27M,0.88%
2019年11月26日,38.57,39.8,39.93,38.56,13.37M,-3.41%
2019年11月27日,38.75,38.61,38.88,38.31,7.06M,0.47%
2019年11月29日,38.57,38.64,39.07,38.5,4.66M,-0.46%
2019年12月2日,38.68,38.84,39.16,38.41,10.83M,0.29%
2019年12月3日,38.02,38.38,38.44,37.54,11.61M,-1.71%
2019年12月4日,38.45,38.34,38.79,38.16,10.54M,1.13%
2019年12月5日,37.98,38.68,38.8,37.78,9.22M,-1.22%
2019年12月6日,39.01,38.11,39.03,38.1,10.42M,2.71%
2019年12月9日,37.34,38.03,38.08,37.32,17.39M,-4.28%
2019年12月10日,37.57,37.51,38.05,37.25,12.62M,0.62%
2019年12月11日,37.54,37.54,37.97,37.53,7.86M,-0.08%
2019年12月12日,38.25,37.64,38.53,37.59,9.48M,1.89%
2019年12月13日,37.71,38.48,38.81,37.66,9.89M,-1.41%
2019年12月16日,38.32,37.99,38.72,37.98,9.57M,1.62%
2019年12月17日,38.32,38.32,38.77,38.14,13.58M,0.00%
2019年12月18日,38.67,38.33,39.03,38.31,9.42M,0.91%
2019年12月19日,38.7,38.52,38.96,38.46,7.47M,0.08%
2019年12月20日,39.01,38.87,39.23,38.53,17.28M,0.80%
2019年12月23日,39.71,39.01,39.72,38.99,10.02M,1.79%
2019年12月24日,39.89,39.78,40.37,39.72,4.70M,0.45%
2019年12月26日,40.15,40.05,40.58,39.99,6.05M,0.65%
2019年12月27日,40.16,40.35,40.49,40.13,7.05M,0.02%
2019年12月30日,40.7,40.25,41.12,40.16,10.49M,1.34%
2019年12月31日,41.21,40.49,41.22,40.32,10.37M,1.25%
2020年1月2日,42.58,41.63,42.69,41.58,12.79M,3.32%
2020年1月3日,43.61,43.81,44.25,43.16,15.10M,2.42%
2020年1月6日,45.05,43.98,45.45,43.69,16.66M,3.30%
2020年1月7日,45.27,45.08,45.28,44.18,12.17M,0.49%
2020年1月8日,44.98,45.54,45.78,44.27,12.25M,-0.64%
2020年1月9日,45.37,44.85,45.4,43.77,14.64M,0.87%
2020年1月10日,45.9,45.25,46.21,44.97,10.54M,1.17%
2020年1月13日,46.57,46.26,46.61,45.52,8.46M,1.46%
2020年1月14日,47.24,46.85,47.43,46.71,12.19M,1.44%
2020年1月15日,47.26,47.15,47.51,46.8,7.09M,0.04%
2020年1月16日,46.67,47.2,47.58,46.62,9.76M,-1.25%
2020年1月17日,45.83,46.75,47.01,45.65,14.38M,-1.80%
2020年1月21日,44.32,45.37,45.45,44.31,10.81M,-3.29%
2020年1月22日,43.29,44,44.04,42.88,12.95M,-2.32%
2020年1月23日,42.52,42.62,42.74,42.21,10.79M,-1.78%
2020年1月24日,42.22,42.47,42.69,41.84,8.80M,-0.71%
2020年1月27日,41.24,41.02,41.41,40.69,9.30M,-2.32%
2020年1月28日,41.2,41.63,41.66,41.12,7.21M,-0.10%
2020年1月29日,40.47,41.31,41.52,40.46,6.66M,-1.77%
2020年1月30日,40.59,39.94,40.67,39.42,9.51M,0.30%
2020年1月31日,39.72,40.1,40.36,39.49,16.04M,-2.14%
2020年2月3日,40.08,39.7,40.42,39.44,8.73M,0.91%
2020年2月4日,40.5,40.94,41.44,40.39,7.86M,1.05%
2020年2月5日,42.12,41.27,42.38,41.21,8.61M,4.00%
2020年2月6日,42.12,42.31,42.45,41.57,6.20M,0.00%
2020年2月7日,41.89,41.7,42,41.47,5.03M,-0.55%
2020年2月10日,40.5,41.49,41.56,40.18,7.92M,-3.32%
2020年2月11日,41.17,42.15,42.36,41.03,12.13M,1.65%
2020年2月12日,42.49,42.4,42.61,41.78,8.21M,3.21%
2020年2月13日,42.04,42.09,42.38,41.53,8.40M,-1.06%
2020年2月14日,41.6,42.07,42.24,41.29,6.40M,-1.05%
2020年2月18日,41.56,41.6,41.69,40.98,9.52M,-0.10%
2020年2月19日,42.51,41.86,42.72,41.53,7.54M,2.29%
2020年2月20日,42.97,42.7,43.6,42.46,7.73M,1.08%
2020年2月21日,42.12,42.55,42.57,41.83,8.92M,-1.98%
2020年2月24日,39.48,40.5,40.55,39.48,12.50M,-6.27%
2020年2月25日,36.19,39.54,39.62,36,22.06M,-8.33%
2020年2月26日,34.22,36.27,36.44,34.19,22.70M,-5.44%
2020年2月27日,31.81,33.17,33.57,31.16,23.52M,-7.04%
2020年2月28日,32.74,31.48,32.78,29.64,24.19M,2.92%
2020年3月2日,32.95,33.58,33.66,31.7,17.22M,0.64%
2020年3月3日,32.99,33.05,34.62,32.31,19.99M,0.12%
2020年3月4日,32.93,33.25,33.25,31.88,14.01M,-0.18%
2020年3月5日,31.48,32.5,32.76,31.09,19.22M,-4.40%
